Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,pH
21.8,74.67,30.75,Red,Millets,9,12,6,DAP (18:46:0),7.42
23.23,56.28,42.74,Red,Ground Nuts,8,7,4,NPK Complex 14:35:14,5.99
31.39,84.69,68.32,Black,Oil seeds,8,14,6,DAP (18:46:0),7.28
16.27,76.0,60.08,Loamy,Millets,12,7,2,NPK Complex 14:35:14,7.18
20.81,88.51,22.2,Black,Paddy,37,6,4,Tata Paras NPK 10:26:26,6.76
33.35,83.27,27.89,Sandy,Sugarcane,16,10,3,NPK Complex 14:35:14,6.71
31.02,87.01,36.61,Black,Pulses,5,9,6,DAP (18:46:0),6.67
15.8,59.33,64.1,Black,Barley,9,22,20,Urea (46% N),5.86
16.03,46.55,23.05,Clayey,Maize,21,11,9,Iffco NPK 17:17:17,5.61
20.13,45.65,46.61,Black,Cotton,14,14,9,Iffco NPK 17:17:17,7.45
30.71,50.1,47.37,Sandy,Oil seeds,11,12,10,DAP (18:46:0),7.04
31.77,55.24,23.03,Sandy,Wheat,22,12,7,NPK Complex 14:35:14,6.14
16.62,49.9,31.11,Clayey,Sugarcane,18,5,7,NPK Complex 14:35:14,7.28
30.64,81.81,32.22,Red,Barley,8,10,11,Iffco NPK 17:17:17,6.82
34.5,56.5,66.74,Clayey,Cotton,10,10,10,Iffco NPK 17:17:17,7.19
37.73,44.54,63.34,Clayey,Barley,22,9,6,Tata Paras NPK 10:26:26,6.49
15.68,71.2,27.92,Black,Paddy,14,10,5,NPK Complex 14:35:14,7.23
30.33,56.35,36.2,Black,Cotton,8,18,6,MAP 28:28:0,7.16
28.24,43.84,22.99,Sandy,Paddy,16,5,2,NPK Complex 14:35:14,5.74
37.93,41.5,54.42,Loamy,Cotton,13,5,8,NPK Complex 14:35:14,6.27
34.16,80.21,25.61,Black,Wheat,25,14,9,Iffco NPK 17:17:17,7.38
31.88,45.79,57.93,Sandy,Sugarcane,10,18,15,MAP 28:28:0,7.41
34.24,62.78,42.61,Clayey,Oil seeds,11,5,3,Tata Paras NPK 10:26:26,7.38
32.82,62.61,49.07,Black,Barley,10,7,14,Iffco NPK 17:17:17,7.23
23.2,87.14,45.4,Red,Sugarcane,6,18,24,Urea (46% N),6.44
33.64,88.17,67.21,Sandy,Maize,23,14,11,NPK Complex 14:35:14,6.79
30.51,72.33,41.45,Clayey,Cotton,9,8,16,Kribhco NPK 20:20:0,7.4
21.72,76.54,28.11,Clayey,Oil seeds,7,9,8,NPK Complex 14:35:14,7.36
24.19,70.02,24.24,Black,Millets,9,12,22,Urea (46% N),6.27
30.3,41.35,55.25,Sandy,Oil seeds,7,6,8,NPK Complex 14:35:14,7.2
36.23,48.02,62.39,Sandy,Barley,11,19,20,Urea (46% N),5.52
39.39,49.61,22.48,Red,Wheat,18,20,8,MAP 28:28:0,6.25
25.95,68.82,53.53,Red,Cotton,7,21,9,MAP 28:28:0,7.32
21.56,82.18,39.44,Black,Cotton,12,18,3,DAP (18:46:0),5.76
29.89,80.34,67.16,Clayey,Tobacco,17,20,8,MAP 28:28:0,6.34
19.09,68.33,53.59,Clayey,Tobacco,4,25,22,Urea (46% N),6.21
28.67,58.84,69.9,Red,Wheat,19,15,6,MAP 28:28:0,6.49
27.1,83.09,51.56,Red,Paddy,33,9,6,Tata Paras NPK 10:26:26,7.07
18.58,80.51,55.24,Loamy,Oil seeds,4,12,19,Urea (46% N),6.56
22.06,52.96,34.17,Black,Tobacco,3,21,25,Urea (46% N),6.18
34.11,70.09,56.13,Sandy,Millets,15,4,7,NPK Complex 14:35:14,6.67
37.13,45.13,63.4,Red,Ground Nuts,8,8,10,NPK Complex 14:35:14,6.73
23.88,51.24,43.54,Sandy,Maize,17,13,21,Kribhco NPK 20:20:0,5.85
17.24,57.68,46.02,Clayey,Barley,15,5,9,NPK Complex 14:35:14,6.65
15.06,52.96,46.27,Clayey,Sugarcane,7,3,28,Kribhco NPK 20:20:0,6.7
20.41,43.79,47.56,Clayey,Maize,17,16,10,NPK Complex 14:35:14,6.85
31.55,60.95,31.12,Black,Pulses,1,11,25,Urea (46% N),6.99
21.31,71.75,30.1,Black,Barley,9,13,12,Iffco NPK 17:17:17,6.72
24.67,48.92,48.87,Clayey,Millets,8,8,18,Kribhco NPK 20:20:0,5.78
23.6,43.83,41.47,Sandy,Ground Nuts,5,13,13,MAP 28:28:0,6.06
26.35,61.91,46.86,Clayey,Cotton,8,8,3,NPK Complex 14:35:14,6.58
30.76,67.29,49.61,Clayey,Pulses,3,2,23,Kribhco NPK 20:20:0,5.77
25.09,72.37,44.48,Loamy,Maize,23,16,9,Iffco NPK 17:17:17,7.25
21.31,43.86,36.8,Sandy,Millets,21,4,5,Tata Paras NPK 10:26:26,7.14
34.42,60.76,45.46,Red,Paddy,21,15,3,DAP (18:46:0),6.44
30.58,52.32,39.54,Loamy,Pulses,7,7,17,Iffco NPK 17:17:17,7.22
37.24,81.62,29.97,Clayey,Barley,15,18,7,DAP (18:46:0),6.86
16.88,62.8,46.7,Red,Paddy,34,2,8,Tata Paras NPK 10:26:26,6.24
31.79,53.31,48.83,Black,Wheat,43,8,5,Tata Paras NPK 10:26:26,6.04
29.35,74.84,52.2,Loamy,Sugarcane,11,20,24,Urea (46% N),6.91
19.42,67.29,28.61,Sandy,Wheat,38,8,5,Tata Paras NPK 10:26:26,7.22
20.93,68.62,52.96,Black,Ground Nuts,10,5,7,NPK Complex 14:35:14,6.14
35.49,79.97,68.09,Red,Sugarcane,7,18,31,Urea (46% N),6.0
24.76,69.09,62.85,Black,Wheat,22,11,3,NPK Complex 14:35:14,7.05
34.55,62.93,39.9,Black,Barley,13,6,27,Kribhco NPK 20:20:0,7.02
18.58,74.59,43.8,Red,Barley,22,3,4,Tata Paras NPK 10:26:26,6.83
31.32,70.59,51.34,Clayey,Maize,13,14,12,Iffco NPK 17:17:17,7.38
30.26,87.11,46.22,Sandy,Tobacco,9,13,22,Kribhco NPK 20:20:0,7.11
21.92,62.48,36.14,Clayey,Tobacco,23,20,7,DAP (18:46:0),5.54
36.01,69.45,55.11,Red,Wheat,20,13,9,Iffco NPK 17:17:17,6.43
30.2,50.27,33.03,Loamy,Millets,14,4,5,NPK Complex 14:35:14,6.85
23.54,48.14,45.96,Red,Cotton,7,22,20,Urea (46% N),6.57
32.12,58.34,39.82,Sandy,Paddy,15,14,14,Iffco NPK 17:17:17,5.58
27.84,70.48,26.47,Black,Maize,7,12,20,Kribhco NPK 20:20:0,7.13
30.22,44.2,42.73,Loamy,Barley,10,7,23,Kribhco NPK 20:20:0,6.06
37.09,84.6,33.93,Loamy,Pulses,5,10,10,DAP (18:46:0),6.78
26.54,45.38,31.51,Black,Millets,15,16,4,DAP (18:46:0),6.32
29.41,82.41,65.29,Clayey,Wheat,13,15,11,MAP 28:28:0,6.12
29.24,52.24,39.67,Loamy,Ground Nuts,8,16,3,DAP (18:46:0),7.31
16.55,48.79,58.6,Sandy,Maize,21,16,6,NPK Complex 14:35:14,6.21
18.85,89.55,33.46,Loamy,Paddy,14,19,12,MAP 28:28:0,6.74
25.33,66.36,51.83,Black,Ground Nuts,7,6,26,Kribhco NPK 20:20:0,5.61
32.13,45.53,25.31,Sandy,Sugarcane,8,15,23,Urea (46% N),6.98
38.98,66.59,31.86,Loamy,Tobacco,19,10,4,NPK Complex 14:35:14,7.37
19.88,53.18,67.37,Red,Barley,9,19,21,Urea (46% N),6.33
33.29,58.25,27.42,Red,Barley,8,12,9,Iffco NPK 17:17:17,6.57
18.2,41.25,53.18,Clayey,Tobacco,9,21,12,MAP 28:28:0,5.66
33.42,62.5,34.65,Red,Barley,15,14,17,Iffco NPK 17:17:17,7.23
30.05,88.81,47.27,Sandy,Pulses,5,10,10,DAP (18:46:0),6.2
30.5,63.35,38.53,Clayey,Cotton,4,16,19,Urea (46% N),5.91
32.27,72.84,59.96,Clayey,Millets,8,6,19,Kribhco NPK 20:20:0,5.82
24.83,46.84,33.87,Sandy,Tobacco,15,24,9,MAP 28:28:0,6.88
25.88,60.78,32.5,Black,Barley,5,20,18,Urea (46% N),6.58
20.42,70.66,60.53,Loamy,Ground Nuts,6,5,25,Kribhco NPK 20:20:0,5.7
30.89,54.71,32.46,Sandy,Wheat,27,21,3,DAP (18:46:0),6.36
27.53,83.14,36.3,Sandy,Oil seeds,6,11,19,Urea (46% N),5.76
15.22,52.13,68.92,Loamy,Ground Nuts,4,14,33,Urea (46% N),7.48
35.06,75.63,42.56,Red,Sugarcane,9,10,19,Iffco NPK 17:17:17,7.04
28.38,78.55,40.35,Red,Pulses,6,7,12,MAP 28:28:0,6.4
22.14,55.43,52.02,Sandy,Sugarcane,15,10,5,NPK Complex 14:35:14,7.38
31.5,72.47,41.35,Clayey,Paddy,9,20,15,Urea (46% N),6.32
27.69,78.33,20.88,Black,Barley,13,16,7,DAP (18:46:0),6.63
26.71,61.52,50.23,Red,Sugarcane,11,5,9,NPK Complex 14:35:14,6.52
32.01,63.69,45.22,Clayey,Pulses,8,4,9,Tata Paras NPK 10:26:26,6.38
25.3,46.96,23.09,Sandy,Tobacco,26,7,10,Tata Paras NPK 10:26:26,6.71
